Year,Voivodship,Urban buses,Lorries,Road tractors,Total
2019_1,Poland,3.89029003,52.06443598,35.74109434,91.69582035
2019_2,Poland,3.89029003,52.17260219,35.24645607,91.30934829
2019_3,Poland,3.89029003,47.18997779,31.71215995,82.79242777
2019_4,Poland,3.89029003,48.3730022,32.54180508,84.8050973
2020_1,Poland,3.226581098,43.39466851,31.67580272,78.29705233
2020_2,Poland,3.226581098,43.18552471,31.04490554,77.45701134
2020_3,Poland,3.226581098,42.99002706,30.86052577,77.07713393
2020_4,Poland,3.226581098,42.25738591,30.71230008,76.19626709
2021_1,Poland,2.830101845,37.9493572,26.1518587,66.93131775
2021_2,Poland,2.69170859,37.48111864,26.25479399,66.42762122
2021_3,Poland,2.64026167,36.28297181,26.37501512,65.2982486
2021_4,Poland,2.546241167,35.85531791,26.11805067,64.51960975
2022_1,Poland,2.420900962,35.50046232,25.86614477,63.78750805
2022_2,Poland,2.328646212,35.32057406,25.75175064,63.4009709
2022_3,Poland,2.283027592,33.75579962,25.63445785,61.67328506
2022_4,Poland,2.207040603,33.43883495,25.69139748,61.33727303
